title,price,condition,link
Feraricci Men Bold Colorful Solid Crew Casual Dress Socks Size 10-13 Shoe 8-12 ,5.95,Brand New,https://www.ebay.com/itm/174105225203?hash=item28897ae7f3:g:wDsAAOSwjT9d2cfU&amdata=enc%3AAQAHAAAAwBWbvirTgWYacNzW0lzxV0DHF37Ye6M98%2BFZbEF%2B09nfxfvd%2BbMy2R6ZCQNxTDnEtGkYpFEFjbFmmabb0zjU%2FvY%2B5ww%2BC%2BD6ndpz5gLlEP4N6%2BbHpHFXZIFnSAFO7WBDeRXtTABAJ6syBgLT6tDQVeOah%2FVquzhtovirqgsUuUXXVTYfIT5QcVv54%2FCEnI8%2FHsb%2FRgyfGW4ijYZ55ZH91eIHw7AFPTFVe%2FjqBXeJmr40kKVLz5Svh5WRQDHXG8UgOQ%3D%3D%7Ctkp%3ABk9SR_Ct-ZPfYQ
Nike Every Day Dri Fit Plus Cushioned Training Crew Socks - One Pair Only,9.99,New (Other),https://www.ebay.com/itm/175223989204?hash=item28cc29e3d4:g:4gIAAOSwedJiYMMg&amdata=enc%3AAQAHAAAAwD9NoSTurhSZ6Fg1ZM1aX90fl98Qg4WnH5hhuMYncSeuhB7b9RnL6NvgVBODVFO24iiO8MAuIpZNMyeVx2DsC33qRohrEde1cp39qpb%2B%2Br6iFv5ECZSub9Z%2BoJzLAQe6uhXOnSoDEHNDerAC06TZngmXj%2Bbw6Rx4NLshrdwwU5unwoarBJ2YfQa3RE%2BPBHzlUSKd7qP6HgTTy7mAg1BV2T7gd9XXZoBgm7SAPxqYcRFsVtUIvZMIpamqcCfkc8F7gg%3D%3D%7Ctkp%3ABk9SR_Ct-ZPfYQ
Lot 6-12 Pairs Mens Womens Ankle Athletic Socks Cotton Low Cut Casual Size 9-13,7.49 to 11.98,Brand New,https://www.ebay.com/itm/124120227874?hash=item1ce6246022:g:NdAAAOSw~HBeb9Ul&amdata=enc%3AAQAHAAAA4KODvaqOV6ROpVfg8KJzqkCn4lhw3ZYJZPfAOOUZJZXY58JeFzA%2Fn3o%2FJpP2Cti02laUK1QtOzSYWt%2F%2FDejhbHK2ZrHNU6ymF0eowzFVehkjyJy11SXXTNEIrxPPXiT04oTlVxIdYxw0yZ7JWScWo%2BqhhfpxfHUfpKxYYX7p3%2BMM1Mpy%2BB%2FgWvPoezfatdQaOAfOhRDpV5xSdU6aWt9zP2qHonQKSarFtsXO42JT7vA8BL%2BUtio%2BmGodVatTPDyRl%2B8As5GEa8lkmjtv6QzJERxrrhzsWe0igIy5MSuBGI6s%7Ctkp%3ABk9SR_Ct-ZPfYQ
3 6 12 Pairs Mens Black Sports Athletic Work Crew Cotton Socks Size 9-11 10-13,6.99 to 16.99,Brand New,https://www.ebay.com/itm/331672047040?hash=item4d3931cdc0:g:vd4AAOSw9p9aigQi&amdata=enc%3AAQAHAAAAwPEoHSUbXjflGH7mDUQy7Re0X4iO47p7QJXn%2FANCinH5ao0U8CLkwxJWpfmBmUUbVqck0PDtF1k5w9qSPqs1iXw4tN5NfhlRKbAGd80WSbhLbNZU6DO08wNGCVimkjnOlDaLnvbDI9lJQLlJm2HJPK78ujtmPa2EHQeB0tz%2FDU1t%2FVS6XXGnM0FLD8R%2BZSbLAe2XU34orRBSSTDgcSskc%2BqWStiF%2FIjvCvcZsO2KGOqUiWguLU7vXWsFTaX4UNBj0Q%3D%3D%7Ctkp%3ABk9SR_Ct-ZPfYQ
Lot 12 Pairs Mens No Show Socks Low Cut Anti-slid Casual Invisible Liner Socks,2.89 to 11.88,Brand New,https://www.ebay.com/itm/265847037002?hash=item3de5b7dc4a:g:rDAAAOSwjL5jBWtB&amdata=enc%3AAQAHAAAA0NGvcDCXLLwpG54p7HX%2Bc6%2FQDCCLUdG0IJqXLtFAWY10py9eCIPHlvnBvZZxgoxcHjL2QKtvqzVyGNjR43uLZo8hojnOFYeZ6%2B1PJcCrlhq0Ul4j1VFPv%2FyHW1KqAs0IwMm0vnDMY1Ocw7ylp%2FWz%2BKpLLzgMgrReOlYdzKFW8wgzFWc1vVYWmgFgn%2FMLxYIV9COmjLf%2Bglj8GKnePpr9%2BlMi5JtH%2FR7plqn5gnqExkJNTaa1%2BPr8hVeWZvmyTpo6FQ2UFvchiAPZTTY5kZJp5wE%3D%7Ctkp%3ABFBM8K35k99h
"Hugh Ugoli Cotton Diabetic Men's Socks, Ankle, Loose, Wide Stretchy, 4 Pairs",16.50,Brand New,https://www.ebay.com/itm/265881772147?hash=item3de7c9e073:g:q34AAOSwpO9kEmBp&amdata=enc%3AAQAHAAAA0McNin65xsB%2Fhl7GXKT4nkpTN%2BIg9QTKij9k%2B5x69DbhYdf5tzsu%2FNdMDV6%2BDN672SIzUXmEZvNJs9F2d%2Bgiewmp56%2FWk8FIxl%2ByCUQCuK%2FhoNJnLSQUEXfa4dXMZolzXwkslw4S%2Fii8EITL0yrLeMB%2BGfzmp%2BC96Sx4Q8PBOaUxgisGKUudeQwqfpxlTHIDrhs2PRB9y0lxROmu1j1oaRqDZzwtLwjoNzwSXl2kumMlOPsRE2V42e1Efn%2FCCHOvPJ%2Bh5pYR5QK98sXvfeR25GM%3D%7Ctkp%3ABFBM8K35k99h
3 6 9 12 Pairs Men Colorful Funky Argyle Diamond Casual Cotton Dress Socks 10-13,6.99 to 18.99,Brand New,https://www.ebay.com/itm/152764894101?hash=item23917f4b95:g:OcMAAOSwZtlZ9ktf&amdata=enc%3AAQAHAAAA0MN5NR35yvZV9tWSdSA0qPJug5vfovJk04KGMJRldzYaI5iLyxE61j%2F5%2B%2BVJP9uYjo%2BuKBqj4cTJvRRecZ7RJVnMe6WZsR18kBvAE28C%2BuzzQsIFcifwIMI7IgesUXfHbwbLr%2BYUu4Fi4NVFV0ZJH8hcy7eqZCsAYoPcFgxsi8tkha2oYguW9ibB6Q4B6dtjsokaoA%2F7xabF4%2BCKQXrNrSlHL3c%2BChXuS95DAs312ERwGaMxvbcNaVvsfDwQuDp6GNpvAYMfZn27RVgXkXVialk%3D%7Ctkp%3ABFBM8K35k99h
Compression Socks Stockings 20-30 mmHg Medical Knee High Mens and Women's S-4XL,2.84 to 5.97,Brand New,https://www.ebay.com/itm/172389512199?hash=item2823373407:g:Ua8AAOSwEgxj9nR-&amdata=enc%3AAQAHAAAA4HX%2FOyWQBiFfL6xJ4CNrY6yczJTSg2f5z0L9b46j93yuitxNRarhTtTXacRgjptt6rHrHMs2u2lNLVHMrnMqV7GNgdq%2FYd6lwFPb65A0UmQQwzJl0azZIAtEaqZeSqgunpb%2FrVb%2BxgBPWsX3dhXQATNLVJL%2BgmtzRcH%2BSXhSuiOt3KWKTDUHujZKxe5vDMq3sj9MaFesmZljLI5W2xGtJy32mxxxYCukDXZc8Z3yi37twfkitPNJ3W0g0ewEmR0ce6i7CK6t4fuoIMHvKCd%2BdTLeS0LEFCDmTHSnlrf56mQV%7Ctkp%3ABk9SR_Ct-ZPfYQ
Foot Pain Relief Compression Socks Ankle Support Sleeves Brace Plantar Fasciitis,5.28,Brand New,https://www.ebay.com/itm/224853004316?hash=item345a48901c:g:OIMAAOSwIdFhHEuE&amdata=enc%3AAQAHAAAAwFm2SzK4nJXwsm3PWBoeU%2BRqtyvoy3a8EtiwsdcsrTl%2Fc4phMOLS5ufoE8lnPUw3K%2FrO6HYI%2BIc%2FwcXtMS90WVUIOivCIhU17QnsMOG7qxJdpvILxbj5PZWzPeism3elDTGO4fbv9RDSMN4REJeWlLxUSFGncIOt%2BiG3UpAYFDQp2RkarvCnEegWdBJI7iSGqcWGfU4dGw854YwOz64eDfr%2BGD%2FNMWHrUz2OrXmg9eXDUX9H2OCWhkMwGY1mQN%2B97A%3D%3D%7Ctkp%3ABk9SR_Ct-ZPfYQ
5 Pairs Copper Compression Socks 20-30mmHg Graduated Support Mens Womens S/M-XXL,9.89,Brand New,https://www.ebay.com/itm/225477695044?hash=item347f849644:g:K9IAAOSwNUdkDnfq&amdata=enc%3AAQAHAAAAwHcqFVUx23WmJ52hmQKy25%2BbwkO4Thx3VGSDwQSsThSj9SZ7FzJ0KhTBjGn9G0nsRlpvZPomLqOmKJJcoX099mLFWoap2SZTjnRhfZaHCr9BEMg22LDma3JALq44kPVv6kPyH6PfT3gWAFnAbtl9Zmt3TGe3NmcSlOXeCbgOnqAd2%2Bqr0nG6MEC7HrjTgUDIV%2FmBFgH3Pk1QT%2Bg4D5DduCKqJg%2FSNxAc5gYLDaFMMk%2BFR1g1PRuBRoGmhvK9QB8SKA%3D%3D%7Ctkp%3ABk9SR_Ct-ZPfYQ
